subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
19,1,P,-1,66297,3,135,135,3,0,1,3666
19,1,P,-2,75489,3,248,248,3,0,1,3436
19,1,P,-3,84446,3,679,679,3,0,1,3583
19,1,T,1,97041,2,85,85,2,0,1,2900
19,1,T,2,104461,2,64,64,2,0,1,3495
19,1,T,3,113480,3,472,472,3,0,1,3116
19,1,T,4,122120,3,815,815,3,0,1,3795
19,1,T,5,132440,4,3417,3417,4,0,1,8332
19,1,T,6,147301,4,6158,6158,4,0,1,5311
19,1,T,7,160140,5,52186,52186,5,0,1,5361
19,1,T,8,173032,5,42731,42731,5,0,1,4533
19,1,T,9,186092,6,392487,352987,4,2,0,7696
19,1,T,10,202316,6,378294,378294,6,0,1,6903
19,1,T,11,218758,7,5917428,5917248,5,2,0,10182
19,1,T,12,238478,7,5792846,57928466,7,1,0,12734
