Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.21428571428571427,{}
RandomForestClassifier,0.35,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.3595238095238095,"{'n_neighbors': 2, 'p': 1}"
LogisticRegression,0.30238095238095236,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.46428571428571425,"{'C': 1.5, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.5333333333333334,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'max_iter': 500, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.45238095238095244,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
