subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
50,1,P,-1,18012,3,135,135,3,0,1,2990
50,1,P,-2,26514,3,248,248,3,0,1,3993
50,1,P,-3,36013,3,679,798,0,3,0,5005
50,1,T,1,48144,2,85,85,2,0,1,4155
50,1,T,2,56805,2,64,46,0,2,0,2734
50,1,T,3,65045,3,472,427,1,2,0,2678
50,1,T,4,73229,3,815,815,3,0,1,3358
50,1,T,5,83093,4,3417,3417,4,0,1,6326
50,1,T,6,95925,4,6158,6158,4,0,1,6686
50,1,T,7,110117,5,52186,52186,5,0,1,4326
50,1,T,8,121949,5,42731,42731,5,0,1,5742
50,1,T,9,136197,6,392487,394287,4,2,0,8671
50,1,T,10,153373,6,378294,382749,1,5,0,7407
