sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
30,1,465.043,1,9760,2092.5,4,31,0.129032
30,1,2713.44,2617,21984,788,26,29,0.896552
30,2,251.158,1637,32448,1274.5,4,9,0.444444
30,2,2713.44,3661,36888,908,26,31,0.83871
30,1,465.791,1815,5400,1379.5,4,6,0.666667
30,1,2645.96,1870,21088,748,26,28,0.928571
30,2,484.009,1456,2864,1188,4,4,1
30,2,2959.38,1309,35632,900,26,39,0.666667
30,1,404.19,1295,2616,963.5,4,5,0.8
30,1,2640.85,2900,25272,972,26,29,0.896552
30,2,475.645,2336,4464,1652,4,5,0.8
30,2,2640.85,1390,24848,908,26,29,0.896552
30,1,384.126,26135,3016,1200,4,5,0.8
30,1,2959.38,1099,28528,900,26,35,0.742857
30,2,472.931,1296,2560,940,4,4,1
30,2,2645.96,979,29400,1000,26,33,0.787879
30,1,313.332,2375,2832,1028,4,6,0.666667
30,1,2976.31,1563,28352,888,26,39,0.666667
30,2,301.236,4624,5655,944,4,11,0.363636
30,2,2976.31,6351,30352,800,26,32,0.8125
