sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
13,1,338.722,2150,13079,1695,4,6,0.666667
13,1,2680.17,1763,22320,844,26,26,1
13,2,354.646,4546,4248,1836,4,4,1
13,2,2583.06,1533,32672,1027.5,26,26,1
13,1,381.563,2187,1896,721,4,4,1
13,1,2728.17,1884,21199,792.5,26,27,0.962963
13,2,616.662,2779,2144,740,4,4,1
13,2,2680.17,1524,26801,807.5,26,26,1
13,1,277.648,1235,2208,876.5,4,5,0.8
13,1,2558.76,1012,24392,887.5,26,28,0.928571
13,2,330.616,1413,2120,737,4,4,1
13,2,2558.76,1198,27815,816.5,26,26,1
13,1,562.819,2508,3479,831.5,4,5,0.8
13,1,2583.06,1077,18704,732,26,26,1
13,2,337.849,1147,2137,732,4,4,1
13,2,2643.3,1278,29639,871.5,26,27,0.962963
13,1,590.66,1059,2217,792.5,4,4,1
13,1,2643.3,2215,18671,732.5,26,26,1
13,2,342.51,964,1735,687.5,4,4,1
13,2,2728.17,1316,19431,784,26,26,1
