subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
21,1,P,-1,74405,3,135,135,3,0,1,3111
21,1,P,-2,83028,3,248,248,3,0,1,3552
21,1,P,-3,92085,3,679,679,3,0,1,3479
21,1,T,1,104880,2,85,85,2,0,1,2612
21,1,T,2,111998,2,64,64,2,0,1,2526
21,1,T,3,120030,3,472,472,3,0,1,6927
21,1,T,4,132462,3,815,815,3,0,1,3871
21,1,T,5,142838,4,3417,3417,4,0,1,3462
21,1,T,6,152806,4,6158,6158,4,0,1,3590
21,1,T,7,163902,5,52186,52186,5,0,1,5799
21,1,T,8,177206,5,42731,42731,5,0,1,4630
21,1,T,9,190343,6,392487,394287,4,2,0,4509
21,1,T,10,203358,6,378294,378294,6,0,1,4934
21,1,T,11,217798,7,5917428,9157428,4,3,0,4871
21,1,T,12,232174,7,5792846,5927486,2,5,0,7550
