sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
13,1,356.758,32021,2073,788,4,4,1
13,1,2711.49,2794,25168,692,26,33,0.787879
13,2,446.606,1251,3144,985,4,4,1
13,2,2543.06,1464,18657,571,26,30,0.866667
13,1,328.234,1028,2375,894,4,6,0.666667
13,1,2917.34,1147,16720,668,26,35,0.742857
13,2,338.93,739,2008,689,4,6,0.666667
13,2,2651.67,1594,31319,675.5,26,34,0.764706
13,1,315.436,1172,2224,796.5,4,5,0.8
13,1,2848.6,1232,16912,604,26,34,0.764706
13,2,282.757,766,2785,681,4,6,0.666667
13,2,2917.34,1201,18032,581,26,31,0.83871
13,1,391.936,1302,5160,676.5,4,8,0.5
13,1,2543.06,1218,18217,624.5,26,34,0.764706
13,2,447.27,868,2232,795.5,4,5,0.8
13,2,2848.6,594,23824,697,26,38,0.684211
13,1,428.504,1092,2079,755.5,4,4,1
13,1,2651.67,1121,15209,637,26,32,0.8125
13,2,447.026,861,1328,495.5,4,4,1
13,2,2711.49,1266,23808,745,26,31,0.83871
