sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
15,1,284.646,24550,1992,680,4,4,1
15,1,2554.52,983,18392,600,26,27,0.962963
15,2,301.59,2455,2336,812,4,4,1
15,2,2620.31,957,31512,687.5,26,36,0.722222
15,1,242.614,6119,2544,1020,4,4,1
15,1,2676.15,962,18056,696,26,31,0.83871
15,2,308.787,917,7024,1442.5,4,7,0.571429
15,2,2676.15,1442,24496,840,26,29,0.896552
15,1,390.1,1366,4152,1199,4,7,0.571429
15,1,2620.31,1052,18352,632,26,28,0.928571
15,2,395.998,1935,3744,1124,4,5,0.8
15,2,2479.96,1323,20776,712,26,26,1
15,1,403.07,1055,2256,793,4,4,1
15,1,2479.96,902,19455,596,26,33,0.787879
15,2,217.878,1207,3104,915,4,5,0.8
15,2,2554.52,1229,24567,756,26,30,0.866667
15,1,303.728,1262,2336,924,4,5,0.8
15,1,2832.92,1515,18936,672,26,30,0.866667
15,2,324.395,1063,2704,835,4,4,1
15,2,2832.92,1196,22400,664,26,28,0.928571
