Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4404761904761905,{}
RandomForestClassifier,0.5267857142857143,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.623015873015873,"{'n_neighbors': 5, 'p': 2}"
LogisticRegression,0.2787698412698412,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.4781746031746031,"{'C': 2.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (5, 5), 'max_iter': 100, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 5, 'n_estimators': 100}"
