sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
33,1,336.154,29054,2465,840,4,4,1
33,1,2826.04,1594,16184,572,26,28,0.928571
33,2,309.402,1149,1776,684,4,4,1
33,2,2759.43,1257,38713,760,26,27,0.962963
33,1,420.174,1374,1583,556,4,4,1
33,1,2764.17,1449,17880,591.5,26,30,0.866667
33,2,315.777,847,1536,548.5,4,4,1
33,2,2959.72,1204,25847,659.5,26,26,1
33,1,396.298,1158,1735,644,4,5,0.8
33,1,2759.43,1259,17928,536,26,30,0.866667
33,2,433.923,1214,2384,892.5,4,5,0.8
33,2,2764.17,2250,16505,648,26,27,0.962963
33,1,508.118,1870,4329,1188.5,4,7,0.571429
33,1,2725.84,2466,20552,704,26,35,0.742857
33,2,493.417,1028,2031,691.5,4,5,0.8
33,2,2725.84,1283,17479,660,26,31,0.83871
33,1,309.005,964,2696,950,4,5,0.8
33,1,2959.72,1090,20488,716.5,26,30,0.866667
33,2,390.521,909,2431,850.5,4,4,1
33,2,2826.04,1539,26944,900,26,32,0.8125
