subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
17,1,P,-1,64388,3,135,135,3,0,1,2426
17,1,P,-2,72320,3,248,248,3,0,1,2725
17,1,P,-3,80551,3,679,679,3,0,1,2494
17,1,T,1,92106,2,85,85,2,0,1,2395
17,1,T,2,99007,2,64,64,2,0,1,3038
17,1,T,3,107550,3,472,472,3,0,1,2863
17,1,T,4,115918,3,815,815,3,0,1,3008
17,1,T,5,125431,4,3417,3417,4,0,1,3495
17,1,T,6,135431,4,6158,6158,4,0,1,3086
17,1,T,7,146022,5,52186,52186,5,0,1,3479
17,1,T,8,157007,5,42731,42731,5,0,1,4062
17,1,T,9,169575,6,392487,392487,6,0,1,6894
17,1,T,10,184974,6,378294,378294,6,0,1,4447
17,1,T,11,198927,7,5917428,5917428,7,0,1,5406
17,1,T,12,213839,7,5792846,5792846,7,0,1,5159
17,1,T,13,229504,8,58192647,59261473,1,7,0,8188
17,1,T,14,248197,8,59367243,59362473,5,3,0,9576
