Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.5425925925925926,{}
RandomForestClassifier,0.6611111111111111,"{'criterion': 'gini', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
KNeighborsClassifier,0.6092592592592593,"{'n_neighbors': 2, 'p': 1}"
LogisticRegression,0.5370370370370371,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.6462962962962963,"{'C': 1.5, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.7333333333333334,"{'activation': 'tanh', 'hidden_layer_sizes': (5, 5), 'max_iter': 500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.6444444444444445,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
