subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
13,1,P,-1,89156,3,135,135,3,0,1,6440
13,1,P,-2,101119,3,248,248,3,0,1,3485
13,1,P,-3,110126,3,679,679,3,0,1,3590
13,1,T,1,122134,2,85,85,2,0,1,3017
13,1,T,2,129669,2,64,64,2,0,1,3951
13,1,T,3,139142,3,472,472,3,0,1,3014
13,1,T,4,147678,3,815,815,3,0,1,13776
13,1,T,5,167982,4,3417,3417,4,0,1,11304
13,1,T,6,185808,4,6158,6158,4,0,1,3845
13,1,T,7,197183,5,52186,52186,5,0,1,7997
13,1,T,8,212715,5,42731,42731,5,0,1,4914
13,1,T,9,226162,6,392487,392487,6,0,1,5363
13,1,T,10,240057,6,378294,378294,6,0,1,7028
13,1,T,11,256623,7,5917428,5917284,4,3,0,7678
13,1,T,12,273840,7,5792846,5792846,7,0,1,6645
13,1,T,13,291022,8,58192647,58129674,4,4,0,9264
13,1,T,14,310823,8,59367243,95367243,6,2,0,6351
