subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
25,1,P,-1,59060,3,135,135,3,0,1,3246
25,1,P,-2,67811,3,248,248,3,0,1,2624
25,1,P,-3,75940,3,679,679,3,0,1,3199
25,1,T,1,86239,2,85,85,2,0,1,3645
25,1,T,2,94389,2,64,64,2,0,1,3038
25,1,T,3,102932,3,472,472,3,0,1,3159
25,1,T,4,111596,3,815,815,3,0,1,3711
25,1,T,5,121812,4,3417,3417,4,0,1,5487
25,1,T,6,133804,4,6158,6158,4,0,1,3807
25,1,T,7,145116,5,52186,52186,5,0,1,4903
25,1,T,8,157524,5,42731,42731,5,0,1,4159
25,1,T,9,170191,6,392487,39248,5,1,0,7988
25,1,T,10,186685,6,378294,378294,6,0,1,6670
25,1,T,11,202861,7,5917428,9157824,2,5,0,6558
25,1,T,12,218924,7,5792846,5792846,7,0,1,6254
25,1,T,13,235683,8,58192647,58192467,6,2,0,7217
25,1,T,14,253406,8,59367243,59367243,8,0,1,6981
25,1,T,15,271892,9,538712469,53871246,8,1,0,7063
25,1,T,16,290460,9,426817935,42681735,6,3,0,6295
