subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
17,1,P,-1,49389,3,135,135,3,0,1,5887
17,1,P,-2,60823,3,248,248,3,0,1,5831
17,1,P,-3,72194,3,679,697,1,2,0,5252
17,1,T,1,86971,2,85,85,2,0,1,4405
17,1,T,2,95915,2,64,64,2,0,1,4400
17,1,T,3,105860,3,472,247,0,3,0,5252
17,1,T,4,116655,3,815,815,3,0,1,6805
17,1,T,5,130006,4,3417,3417,4,0,1,6358
17,1,T,6,142911,4,6158,6158,4,0,1,7092
17,1,T,7,157548,5,52186,52186,5,0,1,9032
17,1,T,8,174125,5,42731,42731,5,0,1,7869
17,1,T,9,190541,6,392487,394287,4,2,0,8246
17,1,T,10,207339,6,378294,387429,1,5,0,10060
