sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
202427,1,230.656,1345,2135,807.5,4,4,1
202427,1,2897.48,1301,17473,676,26,26,1
202427,2,352.434,986,8208,1093,4,15,0.266667
202427,2,2897.48,1774,32176,855.5,26,27,0.962963
202427,1,252.02,1051,1688,656,4,4,1
202427,1,2855.23,1022,19288,716,26,29,0.896552
202427,2,526.007,1001,2688,856.5,4,4,1
202427,2,2855.23,1294,28160,728,26,28,0.928571
202427,1,259.236,1234,1736,668,4,4,1
202427,1,2475.41,1192,14120,511.5,26,27,0.962963
202427,2,365.313,1321,2544,960,4,4,1
202427,2,2475.41,1035,22592,739.5,26,29,0.896552
202427,1,326.514,1388,2336,935.5,4,4,1
202427,1,2522.37,1175,15816,568.5,26,28,0.928571
202427,2,439.861,1017,2640,976.5,4,5,0.8
202427,2,2522.37,1411,20025,603.5,26,27,0.962963
202427,1,357.676,856,1728,612,4,5,0.8
202427,1,2659.49,1133,14392,540,26,27,0.962963
202427,2,461.723,747,2215,667.5,4,5,0.8
202427,2,2659.49,1089,21103,620,26,27,0.962963
