subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
16,1,P,-1,40101,3,135,135135135,3,6,0,19424
16,1,P,-2,65069,3,248,248,3,0,1,4413
16,1,P,-3,75020,3,679,679,3,0,1,4672
16,1,T,1,86638,2,85,85,2,0,1,2529
16,1,T,2,93708,2,64,64,2,0,1,2623
16,1,T,3,101868,3,472,472,3,0,1,3359
16,1,T,4,110768,3,815,815,3,0,1,3912
16,1,T,5,121221,4,3417,3417,4,0,1,4168
16,1,T,6,131933,4,6158,6158,4,0,1,5982
16,1,T,7,145462,5,52186,52186,5,0,1,4398
16,1,T,8,157404,5,42731,74215,0,5,0,5801
16,1,T,9,171754,6,392487,39247,4,2,0,5655
16,1,T,10,185955,6,378294,378294,6,0,1,8196
16,1,T,11,203709,7,5917428,5917824,5,2,0,6578
16,1,T,12,219837,7,5792846,952746,0,7,0,5973
