Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4333333333333333,{}
RandomForestClassifier,0.5185185185185185,"{'criterion': 'gini', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 40}"
KNeighborsClassifier,0.5,"{'n_neighbors': 10, 'p': 1}"
LogisticRegression,0.4444444444444444,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5481481481481482,"{'C': 2.0, 'kernel': 'sigmoid', 'tol': 0.001}"
MLPClassifier,0.5296296296296296,"{'activation': 'tanh', 'hidden_layer_sizes': (50, 50), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5333333333333333,"{'learning_rate': 0.15, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
