subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
12,1,P,-1,10587,3,135,135,3,0,1,5287
12,1,P,-2,21380,3,248,248,3,0,1,6039
12,1,P,-3,32928,3,679,679,3,0,1,5187
12,1,T,1,48216,2,85,85,2,0,1,4539
12,1,T,2,57261,2,64,64,2,0,1,3942
12,1,T,3,66710,3,472,472,3,0,1,4317
12,1,T,4,76533,3,815,815,3,0,1,4094
12,1,T,5,87132,4,3417,3417,4,0,1,6031
12,1,T,6,99670,4,6158,6158,4,0,1,5053
12,1,T,7,112230,5,52186,52186,5,0,1,5693
12,1,T,8,125429,5,42731,42731,5,0,1,5085
12,1,T,9,139020,6,392487,392487,6,0,1,7960
12,1,T,10,155486,6,378294,378429,3,3,0,9325
12,1,T,11,174318,7,5917428,5917428,7,0,1,10397
12,1,T,12,194222,7,5792846,5942786,3,4,0,12149
12,1,T,13,216878,8,58192647,58142967,5,3,0,11421
12,1,T,14,238806,8,59367243,59367243,8,0,1,15060
12,1,T,15,265372,9,538712469,538472969,6,3,0,12759
12,1,T,16,289637,9,426817935,425689371,2,7,0,11510
