sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
5,1,339.305,9053,12048,4850.5,4,6,0.666667
5,1,2846.35,1355,16536,536,26,29,0.896552
5,2,344.395,964,3256,782,4,4,1
5,2,2801.62,834,25616,724,26,35,0.742857
5,1,263.532,932,1320,476,4,4,1
5,1,2835.23,1379,20712,704,26,28,0.928571
5,2,332.419,779,2456,757.5,4,4,1
5,2,2846.35,1242,22336,668,26,34,0.764706
5,1,298.921,836,2320,642,4,5,0.8
5,1,2697.64,707,18192,624,26,32,0.8125
5,2,442.358,716,2832,950,4,5,0.8
5,2,2801.47,923,28880,748,26,36,0.722222
5,1,352.082,1236,1680,612,4,4,1
5,1,2801.47,1002,21800,652,26,30,0.866667
5,2,277.556,1115,3152,1077.5,4,7,0.571429
5,2,2697.64,1418,23696,700,26,35,0.742857
5,1,292.538,868,2816,886,4,4,1
5,1,2801.62,604,25568,664,26,29,0.896552
5,2,407.905,923,4024,1157.5,4,5,0.8
5,2,2835.23,2211,19048,684,26,30,0.866667
