Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.45,{}
RandomForestClassifier,0.6138888888888888,"{'criterion': 'entropy', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.6777777777777777,"{'n_neighbors': 1, 'p': 2}"
LogisticRegression,0.3611111111111111,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.6305555555555555,"{'C': 1.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6277777777777777,{'max_iter': 500}
XGBClassifier,0.586111111111111,{'max_depth': 4}
