Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4241071428571429,{}
RandomForestClassifier,0.6383928571428572,"{'criterion': 'entropy', 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}"
KNeighborsClassifier,0.5491071428571428,"{'n_neighbors': 1, 'p': 1}"
LogisticRegression,0.5267857142857143,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.001}"
SVC,0.5625,"{'C': 2.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.5982142857142857,"{'activation': 'tanh', 'hidden_layer_sizes': (10, 10), 'max_iter': 1500, 'random_state': 0, 'solver': 'adam'}"
XGBClassifier,0.5357142857142857,"{'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100}"
