sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
24,1,549.037,23266,5192,1988,4,4,1
24,1,2725.85,2121,68201,1304,26,32,0.8125
24,2,324.284,3382,3959,1476,4,4,1
24,2,2747.21,3349,67136,1523.5,26,27,0.962963
24,1,265.336,2358,2881,1117,4,5,0.8
24,1,3143.21,2705,33129,1268,26,28,0.928571
24,2,485.617,2589,4032,1476,4,5,0.8
24,2,2622.69,5264,49072,1307.5,26,26,1
24,1,289.546,2400,3745,1612,4,4,1
24,1,2556.85,2785,27888,1116,26,26,1
24,2,273.015,2095,2239,792,4,4,1
24,2,2556.85,2738,44688,1564,26,27,0.962963
24,1,427.181,1591,5169,1675.5,4,6,0.666667
24,1,2747.21,2210,28999,1084,26,28,0.928571
24,2,400.819,2053,3624,1348,4,4,1
24,2,2725.85,4354,33760,1000,26,27,0.962963
24,1,331.451,2015,2776,976,4,4,1
24,1,2622.69,12562,25312,951.5,26,29,0.896552
24,2,361.987,1966,2792,1012,4,4,1
24,2,3143.21,1088,55312,1084,26,30,0.866667
