sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
18,1,352.107,1493,3768,1162.5,4,4,1
18,1,2890.85,1355,23095,839.5,26,26,1
18,2,399.238,1261,1744,632.5,4,4,1
18,2,2868.65,1289,28824,748.5,26,29,0.896552
18,1,430.195,1388,2440,880,4,5,0.8
18,1,2817.03,2691,16328,580,26,28,0.928571
18,2,300.768,1501,1664,580,4,4,1
18,2,2817.03,2098,29719,764.5,26,36,0.722222
18,1,399.984,1133,2216,803.5,4,4,1
18,1,2732.16,1522,16192,600.5,26,28,0.928571
18,2,366.286,1143,2920,1020,4,4,1
18,2,2890.85,1242,31944,996.5,26,35,0.742857
18,1,282.167,1462,2008,772,4,5,0.8
18,1,2868.65,1105,19841,616,26,32,0.8125
18,2,395.067,1357,2809,1068.5,4,4,1
18,2,2925.17,2146,21407,736.5,26,31,0.83871
18,1,311.574,1007,1616,619.5,4,4,1
18,1,2925.17,1041,20215,648,26,32,0.8125
18,2,327.868,1358,2169,728.5,4,4,1
18,2,2732.16,3009,21048,716,26,29,0.896552
