Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.4444444444444444,{}
RandomForestClassifier,0.5537037037037037,"{'criterion': 'gini', 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 10}"
KNeighborsClassifier,0.5925925925925926,"{'n_neighbors': 20, 'p': 1}"
LogisticRegression,0.36111111111111116,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.4981481481481482,"{'C': 2.0, 'kernel': 'poly', 'tol': 0.001}"
MLPClassifier,0.537037037037037,"{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'max_iter': 100, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5462962962962963,"{'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 100}"
