subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
29,1,P,-1,1,44970,47779,2809,2809,1,803,495
29,1,P,-1,2,44970,48305,3335,273,3,953,390
29,1,P,-1,3,44970,48830,3860,271,5,833,300
29,1,P,-2,1,57018,58196,1178,1178,8,638,90
29,1,P,-2,2,57018,59527,2509,1076,4,623,360
29,1,P,-2,3,57018,60058,3040,278,2,503,465
29,1,P,-2,4,57018,62610,5592,2299,2,503,465
29,1,P,-2,5,57018,63249,6231,386,4,623,360
29,1,P,-2,6,57018,65972,8954,2468,8,638,90
29,1,P,-3,1,72446,73406,960,960,6,998,210
29,1,P,-3,2,72446,74054,1608,395,5,833,300
29,1,P,-3,3,72446,75644,3198,1337,7,458,180
29,1,P,-3,4,72446,76435,3989,536,9,818,120
29,1,T,1,1,85168,86515,1347,1347,8,638,90
29,1,T,1,2,85168,87190,2022,420,5,833,300
29,1,T,2,1,92849,93917,1068,1068,6,998,210
29,1,T,2,2,92849,94856,2007,685,4,623,360
29,1,T,3,1,101416,101759,343,343,4,623,360
29,1,T,3,2,101416,102875,1459,862,7,458,180
29,1,T,3,3,101416,103537,2121,407,2,503,465
29,1,T,4,1,110943,112003,1060,1060,8,638,90
29,1,T,4,2,110943,112946,2003,689,1,803,495
29,1,T,4,3,110943,113623,2680,423,5,833,300
29,1,T,5,1,121457,122320,863,863,3,953,390
29,1,T,5,2,121457,123248,1791,673,4,623,360
29,1,T,5,3,121457,123930,2473,428,1,803,495
29,1,T,5,4,121457,124837,3380,654,7,458,180
29,1,T,6,1,132397,133142,745,744,6,998,210
29,1,T,6,2,132397,134185,1788,789,1,803,495
29,1,T,6,3,132397,134687,2290,248,5,833,300
29,1,T,6,4,132397,135548,3151,607,8,638,90
29,1,T,7,1,144491,145710,1219,1219,5,833,300
29,1,T,7,2,144491,146426,1935,462,2,503,465
29,1,T,7,3,144491,147994,3503,1314,1,803,495
29,1,T,7,4,144491,149220,4729,973,8,638,90
29,1,T,7,5,144491,151013,6522,1538,6,998,210
29,1,T,8,1,159524,163528,4004,4004,4,623,360
29,1,T,8,2,159524,163984,4460,201,2,503,465
29,1,T,8,3,159524,164876,5352,637,7,458,180
29,1,T,8,4,159524,168049,8525,2919,3,953,390
29,1,T,8,5,159524,168475,8951,173,1,803,495
29,1,T,9,1,179083,179954,871,871,9,818,120
29,1,T,9,2,179083,180432,1349,225,3,953,390
29,1,T,9,3,179083,182273,3190,1587,2,503,465
29,1,T,9,4,179083,183199,4116,672,4,623,360
29,1,T,9,5,179083,184078,4995,625,8,638,90
29,1,T,9,6,179083,185228,6145,896,7,458,180
29,1,T,10,1,194801,195889,1088,1087,3,953,390
29,1,T,10,2,194801,197173,2372,1030,7,458,180
29,1,T,10,3,194801,198035,3234,608,8,638,90
29,1,T,10,4,194801,198841,4040,552,2,503,465
29,1,T,10,5,194801,200871,6070,1776,4,623,360
