subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
29,1,P,-1,44970,3,135,135,3,0,1,6523
29,1,P,-2,57018,3,248,842248,1,5,0,9901
29,1,P,-3,72446,3,679,6579,1,3,0,6311
29,1,T,1,85168,2,85,85,2,0,1,3156
29,1,T,2,92849,2,64,64,2,0,1,3035
29,1,T,3,101416,3,472,472,3,0,1,3996
29,1,T,4,110943,3,815,815,3,0,1,3981
29,1,T,5,121457,4,3417,3417,4,0,1,4405
29,1,T,6,132397,4,6158,6158,4,0,1,4561
29,1,T,7,144491,5,52186,52186,5,0,1,7498
29,1,T,8,159524,5,42731,42731,5,0,1,11020
29,1,T,9,179083,6,392487,932487,4,2,0,7179
29,1,T,10,194801,6,378294,37824,4,2,0,7068
