subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
202425,1,P,-1,28030,3,135,135,3,0,1,13082
202425,1,P,-2,46629,3,248,248,3,0,1,3770
202425,1,P,-3,55913,3,679,679,3,0,1,4156
202425,1,T,1,69663,2,85,85,2,0,1,3337
202425,1,T,2,77514,2,64,64,2,0,1,3763
202425,1,T,3,86795,3,472,472,3,0,1,2730
202425,1,T,4,95040,3,815,815,3,0,1,3584
202425,1,T,5,105139,4,3417,3417,4,0,1,6170
202425,1,T,6,117825,4,6158,6158,4,0,1,4832
202425,1,T,7,130174,5,52186,52186,5,0,1,4599
202425,1,T,8,142291,5,42731,274318,2,4,0,7226
202425,1,T,9,158038,6,392487,394287,4,2,0,7816
202425,1,T,10,174372,6,378294,378294,6,0,1,6553
202425,1,T,11,190444,7,5917428,9517428,5,2,0,7386
202425,1,T,12,207352,7,5792846,5792846,7,0,1,7904
202425,1,T,13,225781,8,58192647,51928647,4,4,0,9291
202425,1,T,14,245595,8,59367243,59672413,3,5,0,9803
