subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
18,1,P,-1,55572,3,135,135,3,0,1,2826
18,1,P,-2,63905,3,248,248,3,0,1,3820
18,1,P,-3,73232,3,679,679,3,0,1,5222
18,1,T,1,86876,2,85,85,2,0,1,2554
18,1,T,2,93938,2,64,64,2,0,1,2715
18,1,T,3,102160,3,472,472,3,0,1,2678
18,1,T,4,110344,3,815,815,3,0,1,3790
18,1,T,5,120641,4,3417,3417,4,0,1,4301
18,1,T,6,131450,4,6158,6158,4,0,1,3828
18,1,T,7,142784,5,52186,52186,5,0,1,4990
18,1,T,8,155281,5,42731,42731,5,0,1,3654
18,1,T,9,167443,6,392487,932487,4,2,0,8548
18,1,T,10,184498,6,378294,327849,1,5,0,6724
