subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
3,1,P,-1,74429,3,135,135,3,0,1,2516
3,1,P,-2,82481,3,248,248,3,0,1,1977
3,1,P,-3,89995,3,679,6179,1,3,0,3503
3,1,T,1,102282,2,85,85,2,0,1,2551
3,1,T,2,109372,2,64,64,2,0,1,2239
3,1,T,3,117150,3,472,472,3,0,1,2083
3,1,T,4,124778,3,815,815,3,0,1,2430
3,1,T,5,133749,4,3417,3417,4,0,1,4349
3,1,T,6,144638,4,6158,6158,4,0,1,3557
3,1,T,7,155742,5,52186,52186,5,0,1,3286
3,1,T,8,166572,5,42731,47231,3,2,0,3598
3,1,T,9,178718,6,392487,392487,6,0,1,4534
3,1,T,10,191802,6,378294,378294,6,0,1,3848
3,1,T,11,205203,7,5917428,9517428,5,2,0,4262
3,1,T,12,219023,7,5792846,5792846,7,0,1,4050
3,1,T,13,233635,8,58192647,5192647,1,7,0,4750
3,1,T,14,248948,8,59367243,59364723,5,3,0,7155
