Nome do Algoritmo,Melhor Resultado,Melhores Parametros
GaussianNB,0.3392857142857143,{}
RandomForestClassifier,0.5982142857142858,"{'criterion': 'entropy', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10}"
KNeighborsClassifier,0.5535714285714286,"{'n_neighbors': 3, 'p': 1}"
LogisticRegression,0.5580357142857143,"{'C': 1.0, 'solver': 'lbfgs', 'tol': 0.01}"
SVC,0.5491071428571429,"{'C': 2.0, 'kernel': 'rbf', 'tol': 0.001}"
MLPClassifier,0.6026785714285714,"{'activation': 'relu', 'hidden_layer_sizes': (50, 50), 'max_iter': 1000, 'random_state': 0, 'solver': 'sgd'}"
XGBClassifier,0.5446428571428572,"{'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 200}"
