sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
20,1,407.371,34941,4496,1888.5,4,4,1
20,1,3004.27,1481,17960,612,26,29,0.896552
20,2,335.744,1251,2504,872.5,4,5,0.8
20,2,3004.27,1353,37952,980,26,33,0.787879
20,1,342.89,1630,2008,796,4,4,1
20,1,2714.39,1218,19256,607.5,26,29,0.896552
20,2,249.961,1086,3856,1124,4,6,0.666667
20,2,2714.39,808,23296,703,26,30,0.866667
20,1,382.138,838,4936,663,4,11,0.363636
20,1,2692.38,1002,16560,656.5,26,28,0.928571
20,2,206.149,1180,1343,499,4,4,1
20,2,2647.96,1097,16936,644.5,26,31,0.83871
20,1,367.104,646,2008,587,4,4,1
20,1,2951.17,842,18912,619,26,29,0.896552
20,2,355.971,1221,1801,700,4,4,1
20,2,2951.17,706,16984,528.5,26,28,0.928571
20,1,359.885,838,3056,903.5,4,6,0.666667
20,1,2647.96,1050,16496,524,26,30,0.866667
20,2,346.136,1070,3056,999,4,4,1
20,2,2692.38,1128,20312,545,26,37,0.702703
