subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
31,1,P,-1,25337,3,135,135,3,0,1,6193
31,1,P,-2,37061,3,248,248,3,0,1,5132
31,1,P,-3,47724,3,679,679,3,0,1,4533
31,1,T,1,60483,2,85,85,2,0,1,3015
31,1,T,2,68029,2,64,64,2,0,1,3532
31,1,T,3,77092,3,472,472,3,0,1,2798
31,1,T,4,85420,3,815,815,3,0,1,3231
31,1,T,5,95184,4,3417,3417,4,0,1,3801
31,1,T,6,105519,4,6158,6158,4,0,1,4067
31,1,T,7,117123,5,52186,52186,5,0,1,5463
31,1,T,8,130125,5,42731,42731,5,0,1,6366
31,1,T,9,145036,6,392487,394287,4,2,0,5471
31,1,T,10,159046,6,378294,378294,6,0,1,5845
31,1,T,11,174435,7,5917428,1952748,2,5,0,10993
31,1,T,12,194970,7,5792846,5927486,2,5,0,9281
